"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"408989",1797.69421486656,-3.08088928463254,0.0952196041450386,-32.3556195417461,1.15649782032342e-229,1.04061673872702e-225
"552244",11173.9533268427,-3.92559800723465,0.179369612936797,-21.8855242142819,3.5688414320341e-106,1.60562176027214e-102
"411469",1517.41244869632,-6.83890000107974,0.327020596978416,-20.9127500355311,4.09912285187006e-97,1.22946358070423e-93
"100578239",45400.3604211239,-3.90750898678614,0.195240013037839,-20.0138738263085,4.1695257059556e-89,9.37934807554713e-86
"409423",1527.16090246303,-6.57398665268287,0.331788750729342,-19.8137719806107,2.26465684161487e-87,4.07547645217012e-84
"100578668",1118.88830208961,-3.31019735981742,0.169082518624183,-19.577407450234,2.40977119992798e-85,3.61385354282532e-82
"411173",18142.2591780075,-7.42771144838627,0.392607745706799,-18.918912144778,7.96821914271973e-80,1.0242576549456e-76
"727236",4483.79075668055,-3.93096245526252,0.212407752358976,-18.5066807195392,1.8239957840369e-76,2.0515392580955e-73
"552278",1971.09414319234,-4.37294838478541,0.238511448371411,-18.334333276849,4.40382620861306e-75,4.40284758056671e-72
"409520",5229.09426309807,-4.29851041973142,0.238143866385296,-18.050057240512,7.88090121910456e-73,7.09123491695028e-70
"107965838",6875.59453386579,-3.40853171780763,0.194211586627317,-17.5506095027608,5.88451227591725e-69,4.81353104170031e-66
"410580",3555.24062689023,-3.27317150373195,0.188736122564847,-17.3425810557665,2.24428855750192e-67,1.68284237003352e-64
"413169",8370.0486875824,-4.54816726355414,0.262912190378858,-17.2991874473382,4.77070020433779e-67,3.30205849527934e-64
"551691",86400.5762344117,-3.62430200400812,0.214414268478121,-16.9032687504094,4.25642896699281e-64,2.55328985633342e-61
"724607",6653.17506879342,-4.06163561233358,0.24024068839445,-16.9065266981953,4.02757262264816e-64,2.55328985633342e-61
"412552",1241.81245588739,-1.26492994042125,0.0750029110407585,-16.865077939893,8.1294814223604e-64,4.57181711489993e-61
