"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"725318",2042.48866291734,-2.31200981369128,0.0844722756388967,-27.3700429662235,6.23602797306253e-165,5.48458660230849e-161
"102654470",1864.44074388084,2.86871868184099,0.118512709377227,24.2060003261747,1.92352556230008e-129,8.45870366021459e-126
"102656905",23843.3306189975,2.65463245986825,0.131426674090534,20.1985820476564,1.00748789451213e-90,2.9536186774114e-87
"102655072",6522.21088636388,-2.28421727204967,0.115731489720063,-19.7372148027718,1.03318460762579e-86,2.2717146560172e-83
"102654482",737.616947496727,2.97191837150556,0.156089919836935,19.039784084778,7.98561456749677e-81,1.40466960242268e-77
"408922",8917.58424009648,-1.88438187616852,0.0991734590367052,-19.0008687250798,1.67744923245074e-80,2.4588609999007e-77
"409296",7298.25358645903,-1.98709673437705,0.112814689432409,-17.6138120343591,1.92998422417103e-69,2.42488732165489e-66
"726107",4227.04204861479,-2.96904871551434,0.17476896454592,-16.9884208173255,1.00046637826761e-64,1.09988772460795e-61
"410906",1629.7142050837,-4.77147108212082,0.281990838301714,-16.9206599436242,3.16860057033339e-64,3.09642689067579e-61
"409152",965.034793235303,-1.61664739845897,0.0986876111773195,-16.3814624669981,2.59429613196835e-60,2.28168344806616e-57
"102654964",14201.6853373339,-3.901397136941,0.238847137125108,-16.3342846973186,5.62885569804237e-60,4.50052598766206e-57
"100576476",6377.98989110739,6.7993962277554,0.419899505388506,16.1929131625539,5.65850128276387e-59,4.14720989849235e-56
"411204",2982.61697380105,5.24010148694116,0.32549303019447,16.0989668006421,2.5939999791271e-58,1.75494075510945e-55
"410674",4093.66591347953,3.40838052345594,0.214992938326885,15.853453373774,1.33063275292484e-56,8.35922504426711e-54
"107965485",8703.70845887045,-2.89907417762809,0.18972389529498,-15.2804904891956,1.03161335743074e-52,6.04869298573555e-50
"412979",4795.35515050964,2.84235696414229,0.191423452997541,14.8485304158566,7.11104617856947e-50,3.90885319628241e-47
"413791",2652.20641724835,2.58168545998434,0.182910720639669,14.1144567740795,3.09390825457606e-45,1.60064253523509e-42
"411206",483061.04747042,4.98388128526106,0.355060947104728,14.0366923647928,9.29507060112252e-45,4.5416747742707e-42
"727405",475.140813879962,-4.58886082212611,0.327168325017947,-14.0259935673002,1.08087679321679e-44,5.00332178754822e-42
"727578",4241.65078483701,-1.71146399364719,0.125867284370515,-13.5973696596899,4.150952988612e-42,1.82538157674213e-39
"100578820",27405.867445908,2.08036081894255,0.158958380408171,13.0874560598858,3.8839959674959e-39,1.62665450162507e-36
"102654271",3511.64069979695,-1.892104549877,0.149961182251706,-12.6172954991856,1.69544419041854e-36,6.7779234794232e-34
"102655824",3892.05842811214,1.9283778304417,0.153794040213209,12.53870324083,4.58435741945584e-36,1.74001524471532e-33
"552157",17896.5138789646,1.58710668729304,0.126604724261066,12.5359199394514,4.74819395942783e-36,1.74001524471532e-33
"102655889",203524.060939488,2.47612727120873,0.197650163039433,12.5278281238489,5.25829939998883e-36,1.84986972891607e-33
"408547",229.121089814712,2.98977422965761,0.240675676803993,12.4224195371952,1.97496769354414e-35,6.68070802489258e-33
"408309",10952.6396195243,-1.67673787888807,0.135380746626583,-12.3853496207475,3.1371474672782e-35,1.02189673980414e-32
"724912",1145.98116315672,1.00986365892545,0.0817702488238383,12.3500132805154,4.87033877027621e-35,1.52980819587783e-32
"107965415",4400.12523124861,2.52747576450998,0.208534898074882,12.1201572870666,8.26004656849152e-34,2.50507274378907e-31
"102655819",1377.51764886118,1.94486476242852,0.161630110538913,12.0328121780273,2.3888301055176e-33,7.00325359267576e-31
"726991",16490.4673839343,-2.29926578760491,0.195142080997775,-11.7825216162942,4.80342281188875e-32,1.36277753646973e-29
"100577649",756.994178057192,-1.33572858349204,0.114036867611542,-11.7131293718283,1.09174334063153e-31,3.00058833776696e-29
"412611",2391.05995513882,-0.912868942775474,0.0782366964621947,-11.6680404983177,1.85650093213507e-31,4.94785627215999e-29
"408430",54957.9636461005,1.30349753323678,0.111844929219592,11.6545072032505,2.17635839068405e-31,5.62972707237241e-29
"410225",1224.29791573815,2.01202722123841,0.177107015581537,11.360516773612,6.57545151721105e-30,1.65231703125346e-27
"409604",4243.90550862345,1.2855692720784,0.115394824496692,11.1406146478888,7.95682941054737e-29,1.94389762960456e-26
"412348",1547.72238283836,-0.986474355307503,0.0890969551535093,-11.0719199506634,1.71682382341012e-28,4.08093662888974e-26
"413147",5122.821810501,-1.60491659025962,0.147759227069536,-10.8617013102291,1.7544962704507e-27,4.06073544700365e-25
"100577015",1012.58759999813,1.93194008710048,0.179672230908514,10.7525802809461,5.76266120017532e-27,1.29955398091133e-24
"727228",316.537126463198,-3.33920248747752,0.312278712377414,-10.693019905378,1.09738512352591e-26,2.41287554035259e-24
"551718",64.7701768330631,-29.5756516460946,2.7871998363817,-10.6112418851493,2.64213640937096e-26,5.66770480985796e-24
"100576242",2509.44418308226,-2.43917673872218,0.230381366651428,-10.5875608525785,3.40344679467182e-26,7.12697965693777e-24
"551973",9483.86176031984,-1.26080513596307,0.121826715325495,-10.3491679357394,4.2213849860775e-25,8.63420487268643e-23
